Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
SHS,120  x  120 x 6,20.7,120,120,6,6,,,17,,562,562,,,93.7,93.7,112,112,,,,,26.4
SHS,120  x  120 x 8,26.4,120,120,8,8,,,12,,677,677,,,113,113,138,138,,,,,33.6
SHS,120  x  120 x 10,31.8,120,120,10,10,,,9,,777,777,,,129,129,162,162,,,,,40.6
SHS,140  x  140 x 4,16.8,140,140,4,4,,,32,,652,652,,,93.1,93.1,108,108,,,,,21.3
SHS,140  x  140 x 5,20.7,140,140,5,5,,,25,,791,791,,,113,113,132,132,,,,,26.4
SHS,140  x  140 x 6,24.5,140,140,6,6,,,20.3,,920,920,,,131,131,155,155,,,,,31.2
SHS,140  x  140 x 8,31.4,140,140,8,8,,,14.5,,1130,1130,,,161,161,194,194,,,,,40
SHS,140  x  140 x 10,38.1,140,140,10,10,,,11,,1310,1310,,,187,187,230,230,,,,,48.6
SHS,150  x  150 x 4,18,150,150,4,4,,,34.5,,808,808,,,108,108,125,125,,,,,22.9
SHS,150  x  150 x 5,22.3,150,150,5,5,,,27,,982,982,,,131,131,153,153,,,,,28.4
SHS,150  x  150 x 6,26.4,150,150,6,6,,,22,,1150,1150,,,153,153,180,180,,,,,33.6
SHS,150  x  150 x 8,33.9,150,150,8,8,,,15.8,,1410,1410,,,188,188,226,226,,,,,43.2
SHS,150  x  150 x 10,41.3,150,150,10,10,,,12,,1650,1650,,,220,220,269,269,,,,,52.6
SHS,160  x  160 x 4,19.3,160,160,4,4,,,37,,987,987,,,123,123,143,143,,,,,24.5
SHS,160  x  160 x  5,23.8,160,160,5,5,,,29,,1200,1200,,,150,150,175,175,,,,,30.4
SHS,160  x  160 x 6,28.3,160,160,6,6,,,23.7,,1400,1400,,,176,176,206,206,,,,,36
SHS,160  x  160 x 8,36.5,160,160,8,8,,,17,,1740,1740,,,218,218,260,260,,,,,46.4
SHS,160  x  160 x 10,44.4,160,160,10,10,,,13,,2050,2050,,,256,256,311,311,,,,,56.6
SHS,180  x  180 x 5,27,180,180,5,5,,,33,,1740,1740,,,193,193,224,224,,,,,34.4
SHS,180  x  180 x 6,32.1,180,180,6,6,,,27,,2040,2040,,,226,226,264,264,,,,,40.8
SHS,180  x  180 x 6.3,33.3,180,180,6.3,6.3,,,25.6,,2100,2100,,,233,233,273,273,,,,,42.4
SHS,180  x  180 x 8,41.5,180,180,8,8,,,19.5,,2550,2550,,,283,283,336,336,,,,,52.8
SHS,180  x  180 x 10,50.7,180,180,10,10,,,15,,3020,3020,,,335,335,404,404,,,,,64.6
SHS,180  x  180 x 12,58.5,180,180,12,12,,,12,,3320,3320,,,369,369,454,454,,,,,74.5
SHS,180  x  180 x 12.5,60.5,180,180,12.5,12.5,,,11.4,,3410,3410,,,378,378,467,467,,,,,77
SHS,200  x  200 x 5,30.1,200,200,5,5,,,37,,2410,2410,,,241,241,279,279,,,,,38.4
