Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
RHS,400  x  200 x 14.2,126,400,200,14.2,14.2,,,,,32400,10800,,,,,2030,1240,,,,,
RHS,400  x  200 x 16,141,400,200,16,16,,,,,35700,11800,,,,,2260,1370,,,,,
RHS,400  x  200 x 17.5,153,400,200,17.5,17.5,,,,,38400,12600,,,,,2440,1480,,,,,
RHS,400  x  300 x 8,85.4,400,300,8,8,,,,,25700,16500,,,,,1520,1250,,,,,
RHS,400  x  300 x 10,106,400,300,10,10,,,,,31500,20200,,,,,1870,1540,,,,,
RHS,400  x  300 x 12.5,131,400,300,12.5,12.5,,,,,38500,24600,,,,,2300,1880,,,,,
RHS,400  x  300 x 14.2,148,400,300,14.2,14.2,,,,,43000,27400,,,,,2580,2110,,,,,
RHS,400  x  300 x 16,166,400,300,16,16,,,,,47500,30300,,,,,2870,2350,,,,,
RHS,400  x  300 x 17.5,180,400,300,17.5,17.5,,,,,51200,32600,,,,,3110,2540,,,,,
RHS,450  x  250 x 8,85.4,450,250,8,8,,,,,30100,12100,,,,,1620,1080,,,,,
RHS,450  x  250 x 10,106,450,250,10,10,,,,,36900,14800,,,,,2000,1330,,,,,
RHS,450  x  250 x 12.5,131,450,250,12.5,12.5,,,,,45000,18000,,,,,2460,1630,,,,,
RHS,450  x  250 x 14.2,148,450,250,14.2,14.2,,,,,50300,20000,,,,,2760,1830,,,,,
RHS,450  x  250 x 16,166,450,250,16,16,,,,,55700,22000,,,,,3070,2030,,,,,
RHS,450  x  250 x 17.5,180,450,250,17.5,17.5,,,,,60000,23700,,,,,3320,2190,,,,,
RHS,500  x  200 x 8,85.4,500,200,8,8,,,,,34000,8140,,,,,1710,896,,,,,
RHS,500  x  200 x 10,106,500,200,10,10,,,,,41800,9890,,,,,2100,1100,,,,,
RHS,500  x  200 x 12.5,131,500,200,12.5,12.5,,,,,51000,11900,,,,,2590,1350,,,,,
RHS,500  x  200 x 14.2,148,500,200,14.2,14.2,,,,,56900,13200,,,,,2900,1500,,,,,
RHS,500  x  200 x 16,166,500,200,16,16,,,,,63000,14500,,,,,3230,1670,,,,,
RHS,500  x  200 x 17.5,180,500,200,17.5,17.5,,,,,67900,15600,,,,,3500,1800,,,,,
RHS,500  x  300 x 8,97.9,500,300,8,8,,,,,43700,20000,,,,,2100,1480,,,,,
RHS,500  x  300 x 10,122,500,300,10,10,,,,,53800,24400,,,,,2600,1830,,,,,
RHS,500  x  300 x 12.5,151,500,300,12.5,12.5,,,,,65800,29800,,,,,3200,2240,,,,,
RHS,500  x  300 x 14.2,170,500,300,14.2,14.2,,,,,73700,33200,,,,,3590,2520,,,,,
RHS,500  x  300 x 16,191,500,300,16,16,,,,,81800,36800,,,,,4000,2800,,,,,
RHS,500  x  300 x 17.5,208,500,300,17.5,17.5,,,,,88300,39600,,,,,4340,3040,,,,,
