Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
UB,356x171x67,67.1,363.4,173.2,9.1,15.7,10.2,311.6,5.52,34.2,19460,1362,15.1,3.99,1071,157,1211,243,0.886,24.4,0.412,55.7,85.5
UB,356x171x57,57,358,172.2,8.1,13,10.2,311.6,6.62,38.5,16040,1108,14.9,3.91,896,129,1010,199,0.882,28.8,0.33,33.4,72.6
UB,356x171x51,51,355,171.5,7.4,11.5,10.2,311.6,7.46,42.1,14140,968,14.8,3.86,796,113,896,174,0.881,32.1,0.286,23.8,64.9
UB,356x171x45,45,351.4,171.1,7,9.7,10.2,311.6,8.82,44.5,12070,811,14.5,3.76,687,94.8,775,147,0.874,36.8,0.237,15.8,57.3
UB,356x127x39,39.1,353.4,126,6.6,10.7,10.2,311.6,5.89,47.2,10170,358,14.3,2.68,576,56.8,659,89.1,0.871,35.2,0.105,15.1,49.8
UB,356x127x33,33.1,349,125.4,6,8.5,10.2,311.6,7.38,51.9,8249,280,14,2.58,473,44.7,543,70.3,0.863,42.2,0.081,8.79,42.1
UB,305x165x54,54,310.4,166.9,7.9,13.7,8.9,265.2,6.09,33.6,11700,1063,13,3.93,754,127,846,196,0.889,23.6,0.234,34.8,68.8
UB,305x165x46,46.1,306.6,165.7,6.7,11.8,8.9,265.2,7.02,39.6,9899,896,13,3.9,646,108,720,166,0.891,27.1,0.195,22.2,58.7
UB,305x165x40,40.3,303.4,165,6,10.2,8.9,265.2,8.09,44.2,8503,764,12.9,3.86,560,92.6,623,142,0.889,31,0.164,14.7,51.3
UB,305x127x48,48.1,311,125.3,9,14,8.9,265.2,4.47,29.5,9575,461,12.5,2.74,616,73.6,711,116,0.873,23.3,0.102,31.8,61.2
UB,305x127x42,41.9,307.2,124.3,8,12.1,8.9,265.2,5.14,33.1,8196,389,12.4,2.7,534,62.6,614,98.4,0.872,26.5,0.085,21.1,53.4
UB,305x127x37,37,304.4,123.4,7.1,10.7,8.9,265.2,5.77,37.4,7171,336,12.3,2.67,471,54.5,539,85.4,0.872,29.7,0.072,14.8,47.2
UB,305x102x33,32.8,312.7,102.4,6.6,10.8,7.6,275.9,4.74,41.8,6501,194,12.5,2.15,416,37.9,481,60,0.866,31.6,0.044,12.2,41.8
UB,305x102x28,28.2,308.7,101.8,6,8.8,7.6,275.9,5.78,46,5366,155,12.2,2.08,348,30.5,403,48.5,0.859,37.4,0.035,7.4,35.9
UB,305x102x25,24.8,305.1,101.6,5.8,7,7.6,275.9,7.26,47.6,4455,123,11.9,1.97,292,24.2,342,38.8,0.846,43.4,0.027,4.77,31.6
UB,254x146x43,43,259.6,147.3,7.2,12.7,7.6,219,5.8,30.4,6544,677,10.9,3.52,504,92,566,141,0.891,21.2,0.103,23.9,54.8
UB,254x146x37,37,256,146.4,6.3,10.9,7.6,219,6.72,34.8,5537,571,10.8,3.48,433,78,483,119,0.89,24.3,0.086,15.3,47.2
UB,254x146x31,31.1,251.4,146.1,6,8.6,7.6,219,8.49,36.5,4413,448,10.5,3.36,351,61.3,393,94.1,0.88,29.6,0.066,8.55,39.7
UB,254x102x28,28.3,260.4,102.2,6.3,10,7.6,225.2,5.11,35.7,4005,179,10.5,2.22,308,34.9,353,54.8,0.874,27.5,0.028,9.57,36.1
UB,254x102x25,25.2,257.2,101.9,6,8.4,7.6,225.2,6.07,37.5,3415,149,10.3,2.15,266,29.2,306,46,0.866,31.5,0.023,6.42,32
UB,254x102x22,22,254,101.6,5.7,6.8,7.6,225.2,7.47,39.5,2841,119,10.1,2.06,224,23.5,259,37.3,0.856,36.4,0.018,4.15,28
UB,203x133x30,30,206.8,133.9,6.4,9.6,7.6,172.4,6.97,26.9,2896,385,8.71,3.17,280,57.5,314,88.2,0.881,21.5,0.037,10.3,38.2
UB,203x133x25,25.1,203.2,133.2,5.7,7.8,7.6,172.4,8.54,30.2,2340,308,8.56,3.1,230,46.2,258,70.9,0.877,25.6,0.029,5.96,32
UB,203x102x23,23.1,203.2,101.8,5.4,9.3,7.6,169.4,5.47,31.4,2105,164,8.46,2.36,207,32.2,234,49.8,0.888,22.5,0.015,7.02,29.4
UB,178x102x19,19,177.8,101.2,4.8,7.9,7.6,146.8,6.41,30.6,1356,137,7.48,2.37,153,27,171,41.6,0.888,22.6,0.01,4.41,24.3
UB,152x89x16,16,152.4,88.7,4.5,7.7,7.6,121.8,5.76,27.1,834,89.8,6.41,2.1,109,20.2,123,31.2,0.89,19.6,0.005,3.56,20.3
UB,127x76x13,13,127,76,4,7.6,7.6,96.6,5,24.1,473,55.7,5.35,1.84,74.6,14.7,84.2,22.6,0.895,16.3,0.002,2.85,16.5
UC,356 x 406 x 1299,1299,600,476,100,140,15.4,290,2.9,1.23,755000,254000,21.4,12.4,25200,10700,33200,16700,0.846,3.42,133.1,94500,1655
UC,356 x 406 x 1202,1202,580,471,95,130,15.4,290,3.05,1.33,664000,229000,20.8,12.2,22900,9710,30000,15200,0.842,3.59,114.6,76300,1531
UC,356 x 406 x 1086,1086,569,454,78,125,15,290,3.72,1.38,596000,196000,20.7,11.9,20900,8640,27200,13400,0.852,3.79,96.1,60500,1386
UC,356 x 406 x 990,990,550,448,71.9,115,15,290,4.03,1.5,519000,173000,20.3,11.7,18900,7740,24300,12000,0.851,4.02,81.5,46900,1262
UC,356 x 406 x 900,900,531,442,65.9,106,15,290,4.4,1.63,450000,153000,19.8,11.6,17000,6940,21600,10700,0.849,4.26,68.9,36400,1149
UC,356 x 406 x 818,818,514,437,60.5,97,15,290,4.79,1.79,392000,136000,19.4,11.4,15300,6200,19300,9560,0.847,4.55,58.6,27800,1043
UC,356 x 406 x 744,744,498,432,55.6,88.9,15,290,5.22,1.95,342000,120000,19,11.3,13700,5550,17200,8550,0.845,4.86,50,21400,948
UC,356 x 406 x 677,677,483,428,51.2,81.5,15,290,5.66,2.13,300000,107000,18.6,11.1,12400,4990,15400,7680,0.844,5.19,42.9,16400,863
UC,356 x 406 x 634,633.9,474.6,424,47.6,77,15.2,290.2,6.1,2.25,275000,98100,18.4,11,11600,4630,14200,7110,0.842,5.46,38.8,13700,808
UC,356 x 406 x 592,592,465,421,45,72.3,15,290,6.44,2.39,250000,90200,18.2,10.9,10800,4280,13100,6570,0.843,5.72,34.7,11400,755
UC,356 x 406 x 551,551,455.6,418.5,42.1,67.5,15.2,290.2,6.89,2.56,227000,82700,18,10.9,9960,3950,12100,6060,0.842,6.05,31.1,9240,702
UC,356 x 406 x 509,509,446,416,39.1,62.7,15,290,7.42,2.77,204000,75400,17.8,10.8,9170,3620,11000,5550,0.84,6.42,27.6,7390,649
UC,356 x 406 x 467,467,436.6,412.2,35.8,58,15.2,290.2,8.11,2.98,183000,67800,17.5,10.7,8380,3290,10000,5030,0.839,6.85,24.3,5810,595
UC,356 x 406 x 393,393,419,407,30.6,49.2,15.2,290.2,9.48,3.52,147000,55400,17.1,10.5,7000,2720,8220,4150,0.837,7.85,18.9,3550,501
UC,356 x 406 x 340,339.9,406.4,403,26.6,42.9,15.2,290.2,10.9,4.03,123000,46900,16.8,10.4,6030,2330,7000,3540,0.836,8.85,15.5,2340,433
UC,356 x 406 x 287,287.1,393.6,399,22.6,36.5,15.2,290.2,12.8,4.74,99900,38700,16.5,10.3,5070,1940,5810,2950,0.835,10.2,12.3,1440,366
UC,356 x 406 x 235,235.1,381,394.8,18.4,30.2,15.2,290.2,15.8,5.73,79100,31000,16.3,10.2,4150,1570,4690,2380,0.835,12,9.54,812,299
